samples,sites,panel,n_query,tool,variant,user_time,sys_time,max_mem,wall_clock
30000,4294,input.macs,1000,pbwt,indexed,3.83,0.6,1589760,4.49
30000,4294,input.macs,2000,pbwt,indexed,4.85,0.6,1539172,5.53
30000,4294,input.macs,3000,pbwt,indexed,4.19,0.5,1488836,4.73
30000,4294,input.macs,4000,pbwt,indexed,5.12,0.55,1438564,5.72
30000,4294,input.macs,5000,pbwt,indexed,5.88,0.47,1388172,6.44
30000,4294,input.macs,6000,pbwt,indexed,6.32,0.53,1337808,6.96
30000,4294,input.macs,7000,pbwt,indexed,6.5,0.46,1287572,7.07
30000,4294,input.macs,8000,pbwt,indexed,6.73,0.45,1237116,7.26
30000,4294,input.macs,9000,pbwt,indexed,6.72,0.46,1186812,7.25
30000,4294,input.macs,10000,pbwt,indexed,7.21,0.47,1136504,7.81
30000,4294,input.macs,1000,pbwt,dynamic,0.27,0.0,3564,0.27
30000,4294,input.macs,2000,pbwt,dynamic,0.3,0.0,3636,0.3
30000,4294,input.macs,3000,pbwt,dynamic,0.3,0.01,3664,0.31
30000,4294,input.macs,4000,pbwt,dynamic,0.39,0.01,3676,0.4
30000,4294,input.macs,5000,pbwt,dynamic,0.36,0.01,3688,0.38
30000,4294,input.macs,6000,pbwt,dynamic,0.37,0.0,3640,0.37
30000,4294,input.macs,7000,pbwt,dynamic,0.4,0.01,3692,0.41
30000,4294,input.macs,8000,pbwt,dynamic,0.44,0.01,3620,0.45
30000,4294,input.macs,9000,pbwt,dynamic,0.41,0.01,3616,0.43
30000,4294,input.macs,10000,pbwt,dynamic,0.48,0.01,3660,0.5
30000,4294,input.macs,1000,rlpbwt,naive,0.63,0.16,325436,0.8
30000,4294,input.macs,2000,rlpbwt,naive,1.28,0.16,314252,1.45
30000,4294,input.macs,3000,rlpbwt,naive,1.89,0.17,303272,2.08
30000,4294,input.macs,4000,rlpbwt,naive,2.6,0.17,292356,2.8
30000,4294,input.macs,5000,rlpbwt,naive,2.8,0.15,281292,2.98
30000,4294,input.macs,6000,rlpbwt,naive,3.57,0.17,270332,3.76
30000,4294,input.macs,7000,rlpbwt,naive,3.52,0.15,259208,3.7
30000,4294,input.macs,8000,rlpbwt,naive,4.63,0.15,248236,4.82
30000,4294,input.macs,9000,rlpbwt,naive,4.9,0.14,237072,5.09
30000,4294,input.macs,10000,rlpbwt,naive,10.5,0.17,225976,10.83
30000,4294,input.macs,1000,rlpbwt,bitvectors,3.68,0.23,509600,4.02
30000,4294,input.macs,2000,rlpbwt,bitvectors,6.91,0.26,492876,7.28
30000,4294,input.macs,3000,rlpbwt,bitvectors,9.97,0.21,476248,10.31
30000,4294,input.macs,4000,rlpbwt,bitvectors,14.0,0.23,459712,14.35
30000,4294,input.macs,5000,rlpbwt,bitvectors,16.81,0.22,442964,17.17
30000,4294,input.macs,6000,rlpbwt,bitvectors,20.96,0.25,426116,21.39
30000,4294,input.macs,7000,rlpbwt,bitvectors,22.39,0.2,409516,22.8
30000,4294,input.macs,8000,rlpbwt,bitvectors,31.11,0.26,392852,31.69
30000,4294,input.macs,9000,rlpbwt,bitvectors,28.49,0.19,376332,28.91
30000,4294,input.macs,10000,rlpbwt,bitvectors,40.27,0.22,359608,40.95
30000,4294,input.macs,1000,rlpbwt,panel extended,7.69,0.16,135872,7.93
30000,4294,input.macs,2000,rlpbwt,panel extended,14.68,0.16,141288,14.99
30000,4294,input.macs,3000,rlpbwt,panel extended,13.73,0.07,146728,13.99
30000,4294,input.macs,4000,rlpbwt,panel extended,22.93,0.11,152176,23.29
30000,4294,input.macs,5000,rlpbwt,panel extended,26.85,0.14,157356,27.28
30000,4294,input.macs,6000,rlpbwt,panel extended,28.64,0.1,162540,29.0
30000,4294,input.macs,7000,rlpbwt,panel extended,30.66,0.11,168224,31.03
30000,4294,input.macs,8000,rlpbwt,panel extended,42.87,0.12,173400,43.53
30000,4294,input.macs,9000,rlpbwt,panel extended,38.97,0.12,178840,39.45
30000,4294,input.macs,10000,rlpbwt,panel extended,62.14,0.15,184792,63.02
30000,4294,input.macs,1000,rlpbwt,slp_no_thr extended,5.94,0.07,119344,6.06
30000,4294,input.macs,2000,rlpbwt,slp_no_thr extended,14.68,0.09,125344,14.89
30000,4294,input.macs,3000,rlpbwt,slp_no_thr extended,13.71,0.08,131328,13.91
30000,4294,input.macs,4000,rlpbwt,slp_no_thr extended,23.07,0.09,137328,23.32
30000,4294,input.macs,5000,rlpbwt,slp_no_thr extended,35.16,0.11,143076,35.57
30000,4294,input.macs,6000,rlpbwt,slp_no_thr extended,42.32,0.14,148740,42.8
30000,4294,input.macs,7000,rlpbwt,slp_no_thr extended,31.09,0.1,154972,31.45
30000,4294,input.macs,8000,rlpbwt,slp_no_thr extended,43.85,0.14,160684,44.38
30000,4294,input.macs,9000,rlpbwt,slp_no_thr extended,41.58,0.11,166672,41.94
30000,4294,input.macs,10000,rlpbwt,slp_no_thr extended,93.88,0.15,173156,95.03999999999999
30000,4294,input.macs,1000,rlpbwt,slp_thr extended,19.32,0.09,120728,19.57
30000,4294,input.macs,2000,rlpbwt,slp_thr extended,39.47,0.06,126700,39.72
30000,4294,input.macs,3000,rlpbwt,slp_thr extended,41.44,0.07,132680,41.7
30000,4294,input.macs,4000,rlpbwt,slp_thr extended,78.3,0.13,138376,78.84
30000,4294,input.macs,5000,rlpbwt,slp_thr extended,115.19,0.12,144352,115.94
30000,4294,input.macs,6000,rlpbwt,slp_thr extended,147.73,0.14,150016,148.75
30000,4294,input.macs,7000,rlpbwt,slp_thr extended,98.74,0.1,156224,99.31
30000,4294,input.macs,8000,rlpbwt,slp_thr extended,190.92,0.22,161920,192.39
30000,4294,input.macs,9000,rlpbwt,slp_thr extended,131.28,0.11,167904,132.03
30000,4294,input.macs,10000,rlpbwt,slp_thr extended,239.07,0.16,174404,240.75
